Name,Brand,Price,Rating,Reviews,Ram,Storage,Battery
POCO C75 5G,POCO,10999.0,4.2,"6,739 Reviews",4 GB  RAM,,5160 mAh Battery
POCO C75 5G,POCO,10999.0,4.2,"6,739 Reviews",4 GB  RAM,,5160 mAh Battery
POCO C75 5G,POCO,11499.0,4.2,"6,739 Reviews",4 GB  RAM,,5160 mAh Battery
POCO C75 5G,POCO,11499.0,4.2,"6,739 Reviews",4 GB  RAM,,5160 mAh Battery
Samsung M06 5G,Samsung,12423.0,4.1,90 Reviews,4 GB  RAM,,5000 mAh Battery
MOTOROLA g35 5G,Motorola,12499.0,4.2,"8,188 Reviews",4 GB  RAM,,5000 mAh Battery
MOTOROLA g35 5G,Motorola,12499.0,4.2,"8,188 Reviews",4 GB  RAM,,5000 mAh Battery
Samsung Galaxy F06 5G,Samsung,12499.0,4.2,"2,864 Reviews",4 GB  RAM,,5000 mAh Battery
REDMI 13 5G,Redmi,12499.0,4.3,"2,386 Reviews",6 GB  RAM,,5030 mAh Lithium Polymer Battery
POCO C85 5G,POCO,12999.0,3.9,57 Reviews,4 GB  RAM,,6000 mAh Lithium-Ion Polymer Battery
POCO C85 5G,POCO,12999.0,3.9,57 Reviews,4 GB  RAM,,6000 mAh Lithium-Ion Polymer Battery
POCO C85 5G,POCO,12999.0,3.9,57 Reviews,4 GB  RAM,,6000 mAh Lithium-Ion Polymer Battery
Samsung Galaxy F06 5G,Samsung,13999.0,4.2,"2,864 Reviews",4 GB  RAM,,5000 mAh Battery
vivo T4 Lite 5G Charger in the Box,Vivo,13999.0,4.3,"1,250 Reviews",4 GB  RAM,,6000 mAh Battery
MOTOROLA g35 5G,Motorola,13999.0,4.2,749 Reviews,8 GB  RAM,,5000 mAh Battery
Samsung Galaxy F06 5G,Samsung,13999.0,4.2,"2,864 Reviews",4 GB  RAM,,5000 mAh Battery
MOTOROLA g35 5G,Motorola,13999.0,4.2,749 Reviews,8 GB  RAM,,5000 mAh Battery
POCO C85 5G,POCO,14499.0,4.3,34 Reviews,6 GB  RAM,,6000 mAh Lithium-Ion Polymer Battery
POCO M6 Plus 5G,POCO,14499.0,4.2,"1,162 Reviews",8 GB  RAM,,5030 mAh Battery
OPPO K14x 5G,Oppo,14999.0,4.3,139 Reviews,4 GB  RAM,,6500 mAh Battery
OPPO K14x 5G,Oppo,14999.0,4.3,139 Reviews,4 GB  RAM,,6500 mAh Battery
Samsung Galaxy F06 5G,Samsung,15499.0,4.2,"1,626 Reviews",6 GB  RAM,,5000 mAh Battery
Samsung Galaxy F06 5G,Samsung,15499.0,4.2,"1,626 Reviews",6 GB  RAM,,5000 mAh Battery
POCO M7 Plus 5G,POCO,15499.0,4.0,200 Reviews,4 GB  RAM,,7000 mAh Battery
POCO M7 Plus 5G,POCO,16999.0,4.3,455 Reviews,6 GB  RAM,,7000 mAh Battery
POCO M7 Plus 5G,POCO,16999.0,4.3,455 Reviews,6 GB  RAM,,7000 mAh Battery
OPPO K14x 5G,Oppo,16999.0,4.3,139 Reviews,4 GB  RAM,,6500 mAh Battery
vivo T4x 5G,Vivo,16999.0,4.4,"8,802 Reviews",6 GB  RAM,,6500 mAh Battery
MOTOROLA g57 power 5G,Motorola,17999.0,4.4,"2,246 Reviews",8 GB  RAM,,7000 mAh Battery
MOTOROLA g57 power 5G,Motorola,17999.0,4.4,"2,246 Reviews",8 GB  RAM,,7000 mAh Battery
MOTOROLA g57 power 5G,Motorola,17999.0,4.4,"2,246 Reviews",8 GB  RAM,,7000 mAh Battery
realme 15x 5G,Realme,18999.0,4.3,249 Reviews,6 GB  RAM,,7000 mAh Battery
MOTOROLA g67 power 5G,Motorola,18999.0,4.3,958 Reviews,8 GB  RAM,,7000 mAh Battery
vivo T4x 5G,Vivo,18999.0,4.4,"7,347 Reviews",8 GB  RAM,,6500 mAh Battery
MOTOROLA g67 power 5G,Motorola,18999.0,4.3,958 Reviews,8 GB  RAM,,7000 mAh Battery
vivo T4x 5G,Vivo,18999.0,4.4,"7,347 Reviews",8 GB  RAM,,6500 mAh Battery
OPPO K14 5G,Oppo,19999.0,4.3,30 Reviews,6 GB  RAM,,7000 mAh Battery
